Country Code,Position,Economy,GDP
GUM,150,Guam,5793
MWI,151,Malawi,5433
MRT,152,Mauritania,4739
FJI,153,Fiji,4704
BRB,154,Barbados,4529
TGO,155,Togo,4400
MNE,156,Montenegro,4374
MDV,157,Maldives,4224
VIR,158,Virgin Islands (U.S.),3765
SLE,159,Sierra Leone,3737
SWZ,160,Swaziland,3721
GUY,161,Guyana,3502
SUR,162,Suriname,3278
BDI,163,Burundi,3007
AND,164,Andorra,2859
FRO,165,Faroe Islands,2477
LSO,166,Lesotho,2291
GRL,167,Greenland,2220
BTN,168,Bhutan,2213
LBR,169,Liberia,2101
TLS,170,Timor-Leste,1783
CAF,171,Central African Republic,1756
BLZ,172,Belize,1741
DJI,173,Djibouti,1727
LCA,174,St. Lucia,1667
CPV,175,Cabo Verde,1617
SMR,176,San Marino,1591
ATG,177,Antigua and Barbuda,1460
SYC,178,Seychelles,1427
MNP,179,Northern Mariana Islands,1242
SLB,180,Solomon Islands,1202
GNB,181,Guinea-Bissau,1165
GRD,182,Grenada,1056
GMB,183,"Gambia, The",965
KNA,184,St. Kitts and Nevis,910
WSM,185,Samoa,786
VUT,186,Vanuatu,774
VCT,187,St. Vincent and the Grenadines,768
ASM,188,American Samoa,658
COM,189,Comoros,617
DMA,190,Dominica,581
TON,191,Tonga,402
STP,192,São Tomé and Principe,343
FSM,193,"Micronesia, Fed. Sts.",330
PLW,194,Palau,310
MHL,195,Marshall Islands,194
KIR,196,Kiribati,182
NRU,197,Nauru,102
TUV,198,Tuvalu,34
ABW,,Aruba,
BMU,,Bermuda,
VGB,,British Virgin Islands,
CYM,,Cayman Islands,
CHI,,Channel Islands,
CUW,,Curaçao,
ERI,,Eritrea,
PYF,,French Polynesia,
GIB,,Gibraltar,
PRK,,"Korea, Dem. People's Rep.",
LBY,,Libya,
MCO,,Monaco,
NCL,,New Caledonia,
PRI,,Puerto Rico,
SXM,,Sint Maarten (Dutch part),
MAF,,St. Martin (French part),
SYR,,Syrian Arab Republic,
TCA,,Turks and Caicos Islands,
VEN,,"Venezuela, RB",
